,Date,Symbol
253,2013-07-01,AXISBANK
254,2013-07-01,BPCL
255,2013-07-01,BAJAJ_AUTO
256,2013-07-01,BANKBARODA
257,2013-07-01,BATAINDIA
258,2013-07-01,BHARATFORG
259,2013-07-01,BHARTIARTL
260,2013-07-01,BHEL
261,2013-07-01,BIOCON
262,2013-07-01,HDFCBANK
263,2013-07-01,HEROMOTOCO
264,2013-07-01,HINDALCO
265,2013-07-01,MRF
266,2013-07-01,MARUTI
267,2013-07-01,NTPC
268,2013-07-01,ONGC
269,2013-07-01,PETRONET
270,2013-07-01,PFC
271,2013-07-01,PNB
272,2013-07-01,POWERGRID
273,2013-07-01,NMDC
274,2013-07-01,HINDPETRO
275,2013-07-01,HINDUNILVR
276,2013-07-01,ICICIBANK
277,2013-07-01,IDEA
278,2013-07-01,IGL
279,2013-07-01,INDUSINDBK
280,2013-07-01,INFY
281,2013-07-01,IOC
282,2013-07-01,ITC
283,2013-07-01,JINDALSTEL
284,2013-07-01,JSWSTEEL
285,2013-07-01,JUBLFOOD
286,2013-07-01,KOTAKBANK
287,2013-07-01,LICHSGFIN
288,2013-07-01,LT
289,2013-07-01,LUPIN
290,2013-07-01,M_M
291,2014-01-01,FEL
292,2014-01-01,GSKCONS
293,2014-01-01,UNITDSPR
294,2014-01-01,RANBAXY
295,2014-01-01,JPPOWER
296,2014-01-01,UCOBANK
297,2014-01-01,IOB
298,2014-01-01,UNITECH
299,2014-01-01,MCLEODRUSS
300,2014-01-01,CROMPGREAV
301,2014-01-01,CAIRN
302,2014-01-01,ABIRLANUVO
303,2014-01-01,IBREALEST
304,2014-01-01,JSWENERGY
305,2014-01-01,HDIL
306,2014-01-01,ANDHRABANK
307,2014-01-01,PTC
308,2014-01-01,RCOM
309,2014-01-01,JPASSOCIAT
310,2014-01-01,GODREJIND
311,2014-01-01,IFCI
312,2014-01-01,IRB
313,2014-01-01,INDIACEM
314,2014-01-01,IDFC
315,2014-01-01,JISLJALEQS
316,2014-01-01,NHPC
317,2014-01-01,ORIENTBANK
318,2014-01-01,SYNDIBANK
319,2014-01-01,KTKBANK
320,2014-01-01,ALBK
321,2014-01-01,TATACOMM
322,2014-01-01,RPOWER
323,2014-01-01,HINDZINC
324,2014-01-01,RELINFRA
325,2014-01-01,RELCAPITAL
326,2014-01-01,ARVIND
327,2014-01-01,OFSS
328,2014-01-01,IDBI
329,2014-01-01,BANKINDIA
330,2014-01-01,UNIONBANK
331,2014-01-01,HEXAWARE
332,2014-01-01,DISHTV
333,2014-01-01,TATAMTRDVR
334,2014-01-01,TATACONSUM
335,2014-01-01,CESC
336,2014-01-01,YESBANK
337,2014-01-01,ADANIPOWER
338,2014-01-01,CENTURYTEX
339,2014-01-01,SRTRANSFIN
340,2014-01-01,HDFC
341,2014-01-01,ZEEL
342,2014-01-01,TCS
343,2014-01-01,UPL
344,2014-01-01,SIEMENS
345,2014-01-01,SBIN
346,2014-01-01,SAIL
347,2014-01-01,VOLTAS
348,2014-01-01,VEDL
349,2014-01-01,RECLTD
350,2014-01-01,RELIANCE
351,2014-01-01,TATAMOTORS
352,2014-01-01,TITAN
353,2014-01-01,TATAPOWER
354,2014-01-01,TATASTEEL
355,2014-01-01,TECHM
356,2014-01-01,UBL
357,2014-01-01,ULTRACEMCO
358,2014-01-01,SUNPHARMA
359,2014-01-01,SUNTV
360,2014-01-01,TATACHEM
361,2014-01-01,WIPRO
362,2014-01-01,CIPLA
363,2014-01-01,COALINDIA
364,2014-01-01,COLPAL
365,2014-01-01,DABUR
366,2014-01-01,DIVISLAB
367,2014-01-01,DLF
368,2014-01-01,CANBK
369,2014-01-01,DRREDDY
370,2014-01-01,EXIDEIND
371,2014-01-01,FEDERALBNK
372,2014-01-01,GAIL
373,2014-01-01,GLENMARK
374,2014-01-01,GMRINFRA
375,2014-01-01,GRASIM
376,2014-01-01,HAVELLS
377,2014-01-01,HCLTECH
378,2014-01-01,ACC
379,2014-01-01,ADANIENT
380,2014-01-01,ADANIPORTS
381,2014-01-01,AMBUJACEM
382,2014-01-01,APOLLOHOSP
383,2014-01-01,APOLLOTYRE
384,2014-01-01,ASHOKLEY
385,2014-01-01,ASIANPAINT
386,2014-01-01,AUROPHARMA
387,2014-01-01,AXISBANK
388,2014-01-01,BPCL
389,2014-01-01,BAJAJ_AUTO
390,2014-01-01,BANKBARODA
391,2014-01-01,BATAINDIA
392,2014-01-01,BHARATFORG
393,2014-01-01,BHARTIARTL
394,2014-01-01,BHEL
395,2014-01-01,BIOCON
396,2014-01-01,HDFCBANK
397,2014-01-01,HEROMOTOCO
398,2014-01-01,HINDALCO
399,2014-01-01,MRF
400,2014-01-01,MARUTI
401,2014-01-01,NTPC
402,2014-01-01,ONGC
403,2014-01-01,PETRONET
404,2014-01-01,PFC
405,2014-01-01,PNB
406,2014-01-01,POWERGRID
407,2014-01-01,NMDC
408,2014-01-01,M_MFIN
409,2014-01-01,HINDPETRO
410,2014-01-01,HINDUNILVR
411,2014-01-01,ICICIBANK
412,2014-01-01,IDEA
413,2014-01-01,IGL
414,2014-01-01,INDUSINDBK
415,2014-01-01,INFY
416,2014-01-01,IOC
417,2014-01-01,ITC
418,2014-01-01,JINDALSTEL
419,2014-01-01,JSWSTEEL
420,2014-01-01,JUBLFOOD
421,2014-01-01,KOTAKBANK
422,2014-01-01,LICHSGFIN
423,2014-01-01,LT
424,2014-01-01,LUPIN
425,2014-01-01,M_M
426,2014-07-01,UNITDSPR
427,2014-07-01,RANBAXY
428,2014-07-01,JPPOWER
429,2014-07-01,UCOBANK
430,2014-07-01,IOB
431,2014-07-01,UNITECH
432,2014-07-01,MCLEODRUSS
433,2014-07-01,CROMPGREAV
434,2014-07-01,CAIRN
435,2014-07-01,ABIRLANUVO
436,2014-07-01,IBREALEST
437,2014-07-01,JSWENERGY
438,2014-07-01,HDIL
439,2014-07-01,ANDHRABANK
440,2014-07-01,PTC
441,2014-07-01,RCOM
442,2014-07-01,JPASSOCIAT
443,2014-07-01,GODREJIND
444,2014-07-01,IFCI
445,2014-07-01,IRB
446,2014-07-01,INDIACEM
447,2014-07-01,IDFC
448,2014-07-01,JISLJALEQS
449,2014-07-01,NHPC
450,2014-07-01,ORIENTBANK
451,2014-07-01,SYNDIBANK
452,2014-07-01,KTKBANK
453,2014-07-01,ALBK
454,2014-07-01,TATACOMM
455,2014-07-01,RPOWER
456,2014-07-01,HINDZINC
457,2014-07-01,RELINFRA
458,2014-07-01,RELCAPITAL
459,2014-07-01,ARVIND
460,2014-07-01,OFSS
461,2014-07-01,IDBI
462,2014-07-01,BANKINDIA
463,2014-07-01,UNIONBANK
464,2014-07-01,HEXAWARE
465,2014-07-01,DISHTV
466,2014-07-01,TATAMTRDVR
467,2014-07-01,TATACONSUM
468,2014-07-01,CESC
469,2014-07-01,YESBANK
470,2014-07-01,ADANIPOWER
471,2014-07-01,JUSTDIAL
472,2014-07-01,CENTURYTEX
473,2014-07-01,SRTRANSFIN
474,2014-07-01,HDFC
475,2014-07-01,L_TFH
476,2014-07-01,ZEEL
477,2014-07-01,TCS
478,2014-07-01,UPL
479,2014-07-01,SIEMENS
480,2014-07-01,SBIN
481,2014-07-01,SAIL
482,2014-07-01,VOLTAS
483,2014-07-01,VEDL
484,2014-07-01,RECLTD
485,2014-07-01,RELIANCE
486,2014-07-01,TATAMOTORS
487,2014-07-01,TITAN
488,2014-07-01,TATAPOWER
489,2014-07-01,TATASTEEL
490,2014-07-01,TECHM
491,2014-07-01,UBL
492,2014-07-01,ULTRACEMCO
493,2014-07-01,SUNPHARMA
494,2014-07-01,SUNTV
495,2014-07-01,TATACHEM
496,2014-07-01,WIPRO
497,2014-07-01,CIPLA
498,2014-07-01,COALINDIA
499,2014-07-01,COLPAL
500,2014-07-01,DABUR
501,2014-07-01,DIVISLAB
502,2014-07-01,DLF
503,2014-07-01,CANBK
504,2014-07-01,DRREDDY
505,2014-07-01,EXIDEIND
506,2014-07-01,FEDERALBNK
507,2014-07-01,GAIL
508,2014-07-01,GLENMARK
509,2014-07-01,GMRINFRA
510,2014-07-01,GRASIM
511,2014-07-01,HAVELLS
512,2014-07-01,HCLTECH
513,2014-07-01,ACC
514,2014-07-01,ADANIENT
515,2014-07-01,ADANIPORTS
516,2014-07-01,AMBUJACEM
517,2014-07-01,APOLLOHOSP
518,2014-07-01,APOLLOTYRE
519,2014-07-01,ASHOKLEY
520,2014-07-01,ASIANPAINT
521,2014-07-01,AUROPHARMA
522,2014-07-01,AXISBANK
523,2014-07-01,BPCL
524,2014-07-01,BAJAJ_AUTO
525,2014-07-01,BANKBARODA
526,2014-07-01,BATAINDIA
527,2014-07-01,BHARATFORG
528,2014-07-01,BHARTIARTL
529,2014-07-01,BHEL
530,2014-07-01,BIOCON
531,2014-07-01,HDFCBANK
532,2014-07-01,HEROMOTOCO
533,2014-07-01,HINDALCO
534,2014-07-01,MRF
535,2014-07-01,MARUTI
536,2014-07-01,NTPC
537,2014-07-01,ONGC
538,2014-07-01,PETRONET
539,2014-07-01,PFC
540,2014-07-01,PNB
541,2014-07-01,POWERGRID
542,2014-07-01,NMDC
543,2014-07-01,M_MFIN
544,2014-07-01,HINDPETRO
545,2014-07-01,HINDUNILVR
546,2014-07-01,ICICIBANK
547,2014-07-01,IDEA
548,2014-07-01,IGL
549,2014-07-01,INDUSINDBK
550,2014-07-01,INFY
551,2014-07-01,IOC
552,2014-07-01,ITC
553,2014-07-01,JINDALSTEL
554,2014-07-01,JSWSTEEL
555,2014-07-01,JUBLFOOD
556,2014-07-01,KOTAKBANK
557,2014-07-01,LICHSGFIN
558,2014-07-01,LT
559,2014-07-01,LUPIN
560,2014-07-01,M_M
561,2015-01-01,RANBAXY
562,2015-01-01,JPPOWER
563,2015-01-01,AMTEKAUTO
564,2015-01-01,UCOBANK
565,2015-01-01,IOB
566,2015-01-01,UNITECH
567,2015-01-01,MCLEODRUSS
568,2015-01-01,CROMPGREAV
569,2015-01-01,CAIRN
570,2015-01-01,ABIRLANUVO
571,2015-01-01,IBREALEST
572,2015-01-01,JSWENERGY
573,2015-01-01,HDIL
574,2015-01-01,ANDHRABANK
