,Stock,Start Date,End Date,Accord Code,Sr.No.,Company Name,CD_BSE Code,CD_Bse Scrip Name,CD_NSE Symbol,CD_ISIN No
134,DELTACORP,01-10-2021,29-02-2024,132848,808,Delta Corp Ltd.,532848.0,DELTA CORP,DELTACORP,INE124G01033
135,L_TFH,13-03-2014,25-04-2024,220350,1924,L&T Finance Ltd.,533519.0,LTF,LTF,INE498L01015
136,ZEEL,28-02-2007,27-06-2024,105537,4030,Zee Entertainment Enterprises Ltd.,505537.0,ZEE ENTER,ZEEL,INE256A01028
137,TCS,29-12-2006,31-12-2024,132540,3556,Tata Consultancy Services Ltd.,532540.0,TCS LTD.,TCS,INE467B01029
138,GODREJPROP,26-03-2020,31-12-2024,208238,1210,Godrej Properties Ltd.,533150.0,GODREJ PROP,GODREJPROP,INE484J01027
139,HAL,27-08-2021,31-12-2024,219494,1383,Hindustan Aeronautics Ltd.,541154.0,HAL,HAL,INE066F01020
140,IEX,27-08-2021,31-12-2024,224623,1534,Indian Energy Exchange Ltd.,540750.0,IEX,IEX,INE022Q01020
141,IPCALAB,27-08-2021,31-12-2024,124494,1628,Ipca Laboratories Ltd.,524494.0,IPCA LAB LTD,IPCALAB,INE571A01038
142,BANDHANBNK,28-02-2020,31-12-2024,279527,413,Bandhan Bank Ltd.,541153.0,BANDHANBNK,BANDHANBNK,INE545U01014
143,UPL,11-05-2007,31-12-2024,112070,3789,UPL Ltd.,512070.0,UPL,UPL,INE628A01036
144,HDFCLIFE,28-02-2020,31-12-2024,217389,1324,HDFC Life Insurance Company Ltd.,540777.0,HDFCLIFE,HDFCLIFE,INE795G01014
145,POLYCAB,27-08-2021,31-12-2024,211337,2766,Polycab India Ltd.,542652.0,POLYCAB,POLYCAB,INE455K01017
146,DIXON,27-08-2021,31-12-2024,210072,857,Dixon Technologies (India) Ltd.,540699.0,DIXON,DIXON,INE935N01020
147,SIEMENS,29-12-2006,31-12-2024,100550,3274,Siemens Ltd.,500550.0,SIEMENS LTD.,SIEMENS,INE003A01024
148,SHREECEM,31-03-2017,31-12-2024,100387,3224,Shree Cement Ltd.,500387.0,SHREE CEMENT,SHREECEM,INE070A01015
149,SBIN,29-12-2006,31-12-2024,100112,3408,State Bank Of India,500112.0,STATE BANK,SBIN,INE062A01020
150,INDIAMART,27-08-2021,31-12-2024,290269,1528,Indiamart Intermesh Ltd.,542726.0,INDIAMART,INDIAMART,INE933S01016
151,SAIL,29-12-2006,31-12-2024,100113,3411,Steel Authority Of India Ltd.,500113.0,STEEL AUTH.,SAIL,INE114A01011
152,SYNGENE,27-08-2021,31-12-2024,209373,3522,Syngene International Ltd.,539268.0,SYNGENE,SYNGENE,INE398R01022
153,ABBOTINDIA,01-10-2021,31-12-2024,100488,34,Abbott India Ltd.,500488.0,ABBOTT (I),ABBOTINDIA,INE358A01014
154,VOLTAS,29-12-2006,31-12-2024,100575,3944,Voltas Ltd.,500575.0,VOLTAS LTD,VOLTAS,INE226A01021
155,HINDCOPPER,31-12-2021,31-12-2024,113599,1386,Hindustan Copper Ltd.,513599.0,HIND.COPPER,HINDCOPPER,INE531E01026
156,ABCAPITAL,31-12-2021,31-12-2024,242461,63,Aditya Birla Capital Ltd.,540691.0,ABCAPITAL,ABCAPITAL,INE674K01013
157,VEDL,29-12-2006,31-12-2024,100295,3857,Vedanta Ltd.,500295.0,VEDL,VEDL,INE205A01025
158,SBICARD,29-10-2021,31-12-2024,225051,3135,SBI Cards And Payment Services Ltd.,543066.0,SBICARD,SBICARD,INE018E01016
159,RECLTD,12-03-2008,31-12-2024,200055,2953,REC Ltd.,532955.0,RECLTD,RECLTD,INE020B01018
160,SRF,29-05-2015,31-12-2024,103806,3384,SRF Ltd.,503806.0,SRF LIMITED,SRF,INE647A01010
161,LAURUSLABS,29-10-2021,31-12-2024,271867,1948,Laurus Labs Ltd.,540222.0,LAURUSLABS,LAURUSLABS,INE947Q01028
162,ATUL,29-10-2021,31-12-2024,100027,321,Atul Ltd.,500027.0,ATUL LTD.,ATUL,INE100A01010
