,Unnamed: 0,Symbol,Start,End,Company Name,Accord Code,Prev Date,Curr Price,Curr Date,Prev Price,Returns,Diff
82,82,RELCAPITAL,2013-03-01,2013-03-28,Reliance Capital Ltd.,100111,2013-03-01,312.7,2013-03-28,364.8,-0.1428179824561404,"27 days, 0:00:00"
83,83,HAVELLS,2013-03-01,2013-03-28,Havells India Ltd.,117354,2013-03-01,128.76,2013-03-28,124.74,0.032227032227032194,"27 days, 0:00:00"
84,84,TITAN,2013-03-01,2013-03-28,Titan Company Ltd.,100114,2013-03-01,256.4,2013-03-28,274.3,-0.06525701786365305,"27 days, 0:00:00"
85,85,ZEEL,2013-03-01,2013-03-28,Zee Entertainment Enterprises Ltd.,105537,2013-03-01,210.45,2013-03-28,220.8,-0.0468750000000001,"27 days, 0:00:00"
86,86,HDIL,2013-03-01,2013-03-28,Housing Development And Infrastructure Ltd.,132873,2013-03-01,46.2,2013-03-28,58.65,-0.21227621483375952,"27 days, 0:00:00"
87,87,JUBLFOOD,2013-03-01,2013-03-28,Jubilant FoodWorks Ltd.,215367,2013-03-01,124.695,2013-03-28,106.495,0.17090004225550484,"27 days, 0:00:00"
88,88,AXISBANK,2013-03-01,2013-03-28,Axis Bank Ltd.,132215,2013-03-01,260.14,2013-03-28,272.74,-0.04619784410060872,"27 days, 0:00:00"
89,89,MCLEODRUSS,2013-03-01,2013-03-28,Mcleod Russel India Ltd.,132654,2013-03-01,350.05,2013-03-28,368.45,-0.049938933369520905,"27 days, 0:00:00"
90,90,UNITDSPR,2013-03-29,2013-04-25,United Spirits Ltd.,132432,2013-03-29,410.19,2013-04-25,379.83,0.07993049522154652,"27 days, 0:00:00"
91,91,KTKBANK,2013-03-29,2013-04-25,The Karnataka Bank Ltd.,132652,2013-03-29,112.664746322541,2013-04-25,96.8183738525944,0.1636711281070744,"27 days, 0:00:00"
92,92,DENABANK,2013-03-29,2013-04-25,Dena Bank - (Amalgamated),132121,2013-03-29,95.55,2013-04-25,89.5,0.06759776536312846,"27 days, 0:00:00"
93,93,AUROPHARMA,2013-03-29,2013-04-25,Aurobindo Pharma Ltd.,124804,2013-03-29,95.8,2013-04-25,72.975,0.31277834874957183,"27 days, 0:00:00"
94,94,MRF,2013-03-29,2013-04-25,MRF Ltd.,100290,2013-03-29,13672.65,2013-04-25,11971.8,0.14207136771412823,"27 days, 0:00:00"
95,95,OFSS,2013-03-29,2013-04-25,Oracle Financial Services Software Ltd.,132466,2013-03-29,2490.8,2013-04-25,2560.3,-0.027145256415263833,"27 days, 0:00:00"
96,96,ASIANPAINT,2013-03-29,2013-04-25,Asian Paints Ltd.,100820,2013-03-29,465.215,2013-04-25,491.725,-0.05391224769942558,"27 days, 0:00:00"
97,97,GODREJIND,2013-03-29,2013-04-25,Godrej Industries Ltd.,100164,2013-03-29,309.852118305356,2013-04-25,293.864908073541,0.054403264195853215,"27 days, 0:00:00"
98,98,ULTRACEMCO,2013-03-29,2013-04-25,Ultratech Cement Ltd.,132538,2013-03-29,1929.95,2013-04-25,1868.95,0.03263864736884347,"27 days, 0:00:00"
99,99,COLPAL,2013-03-29,2013-04-25,Colgate-Palmolive (India) Ltd.,100830,2013-03-29,693.9,2013-04-25,620.825,0.11770627793661648,"27 days, 0:00:00"
100,100,HDFCBANK,2013-03-29,2013-04-25,HDFC Bank Ltd.,100180,2013-03-29,344.775,2013-04-25,312.675,0.10266250899496271,"27 days, 0:00:00"
101,101,PTC,2013-03-29,2013-04-25,PTC India Ltd.,132524,2013-03-29,61.2,2013-04-25,59.95,0.020850708924103418,"27 days, 0:00:00"
102,102,TATACONSUM,2013-03-29,2013-04-25,Tata Consumer Products Ltd.,100800,2013-03-29,136.05,2013-04-25,127.85,0.06413766132186169,"27 days, 0:00:00"
103,103,TATAMTRDVR,2013-03-29,2013-04-25,Tata Motors Ltd. - DVR Ordinary,217889,2013-03-29,166.261476627461,2013-04-25,151.169289016932,0.09983633387889111,"27 days, 0:00:00"
104,104,BATAINDIA,2013-03-29,2013-04-25,Bata India Ltd.,100043,2013-03-29,351.75,2013-04-25,359.175,-0.020672374190854072,"27 days, 0:00:00"
105,105,MARUTI,2013-03-29,2013-04-25,Maruti Suzuki India Ltd.,132500,2013-03-29,1590.95,2013-04-25,1281.2,0.24176553231345613,"27 days, 0:00:00"
106,106,LT,2013-03-29,2013-04-25,Larsen & Toubro Ltd.,100510,2013-03-29,675.222222222222,2013-04-25,607.2,0.11202605767823105,"27 days, 0:00:00"
107,107,SYNDIBANK,2013-03-29,2013-04-25,Syndicate Bank - (Amalgamated),132276,2013-03-29,119.35,2013-04-25,109.95,0.08549340609367886,"27 days, 0:00:00"
108,108,HCLTECH,2013-03-29,2013-04-25,HCL Technologies Ltd.,132281,2013-03-29,179.7625,2013-04-25,198.75,-0.09553459119496861,"27 days, 0:00:00"
109,109,INDUSINDBK,2013-03-29,2013-04-25,IndusInd Bank Ltd.,132187,2013-03-29,467.85,2013-04-25,404.7,0.15604151223128251,"27 days, 0:00:00"
110,110,TECHM,2013-03-29,2013-04-25,Tech Mahindra Ltd.,132755,2013-03-29,231.8875,2013-04-25,264.875,-0.12453987730061354,"27 days, 0:00:00"
111,111,ICICIBANK,2013-03-29,2013-04-25,ICICI Bank Ltd.,132174,2013-03-29,214.063636363636,2013-04-25,190.036363636364,0.12643513203214285,"27 days, 0:00:00"
112,112,RELCAPITAL,2013-03-29,2013-04-25,Reliance Capital Ltd.,100111,2013-03-29,363.25,2013-04-25,312.7,0.16165653981451875,"27 days, 0:00:00"
113,113,HAVELLS,2013-03-29,2013-04-25,Havells India Ltd.,117354,2013-03-29,130.06,2013-04-25,128.76,0.010096303199751565,"27 days, 0:00:00"
114,114,TITAN,2013-03-29,2013-04-25,Titan Company Ltd.,100114,2013-03-29,264.65,2013-04-25,256.4,0.03217628705148206,"27 days, 0:00:00"
115,115,ZEEL,2013-03-29,2013-04-25,Zee Entertainment Enterprises Ltd.,105537,2013-03-29,225.15,2013-04-25,210.45,0.06985032074126879,"27 days, 0:00:00"
116,116,HDIL,2013-03-29,2013-04-25,Housing Development And Infrastructure Ltd.,132873,2013-03-29,57.2,2013-04-25,46.2,0.23809523809523808,"27 days, 0:00:00"
117,117,JUBLFOOD,2013-03-29,2013-04-25,Jubilant FoodWorks Ltd.,215367,2013-03-29,108.66,2013-04-25,124.695,-0.12859376879586187,"27 days, 0:00:00"
118,118,AXISBANK,2013-03-29,2013-04-25,Axis Bank Ltd.,132215,2013-03-29,300.68,2013-04-25,260.14,0.15583916352733151,"27 days, 0:00:00"
119,119,MCLEODRUSS,2013-03-29,2013-04-25,Mcleod Russel India Ltd.,132654,2013-03-29,312.05,2013-04-25,350.05,-0.10855592058277388,"27 days, 0:00:00"
120,120,UNITDSPR,2013-04-26,2013-05-30,United Spirits Ltd.,132432,2013-04-26,487.95,2013-05-30,409.05,0.19288595526219282,"34 days, 0:00:00"
121,121,KTKBANK,2013-04-26,2013-05-30,The Karnataka Bank Ltd.,132652,2013-04-26,105.445020547682,2013-05-30,109.29554096094,-0.035230352303522554,"34 days, 0:00:00"
122,122,DENABANK,2013-04-26,2013-05-30,Dena Bank - (Amalgamated),132121,2013-04-26,86.6,2013-05-30,92.75,-0.0663072776280324,"34 days, 0:00:00"
123,123,AUROPHARMA,2013-04-26,2013-05-30,Aurobindo Pharma Ltd.,124804,2013-04-26,88.475,2013-05-30,95.2,-0.07064075630252109,"34 days, 0:00:00"
124,124,MRF,2013-04-26,2013-05-30,MRF Ltd.,100290,2013-04-26,15005.45,2013-05-30,13592.7,0.10393446482303001,"34 days, 0:00:00"
125,125,OFSS,2013-04-26,2013-05-30,Oracle Financial Services Software Ltd.,132466,2013-04-26,2646.2,2013-05-30,2557.15,0.03482392507283488,"34 days, 0:00:00"
126,126,ASIANPAINT,2013-04-26,2013-05-30,Asian Paints Ltd.,100820,2013-04-26,491.36,2013-05-30,470.555,0.044213747595923975,"34 days, 0:00:00"
127,127,GODREJIND,2013-04-26,2013-05-30,Godrej Industries Ltd.,100164,2013-04-26,306.354916067146,2013-05-30,309.552358113509,-0.010329244673983494,"34 days, 0:00:00"
128,128,ULTRACEMCO,2013-04-26,2013-05-30,Ultratech Cement Ltd.,132538,2013-04-26,1988.05,2013-05-30,1908.4,0.04173653322154677,"34 days, 0:00:00"
129,129,COLPAL,2013-04-26,2013-05-30,Colgate-Palmolive (India) Ltd.,100830,2013-04-26,729.6,2013-05-30,696.775,0.0471098991783575,"34 days, 0:00:00"
130,130,HDFCBANK,2013-04-26,2013-05-30,HDFC Bank Ltd.,100180,2013-04-26,362.575,2013-05-30,344.55,0.052314613263677194,"34 days, 0:00:00"
131,131,PTC,2013-04-26,2013-05-30,PTC India Ltd.,132524,2013-04-26,57.2,2013-05-30,60.3,-0.05140961857379758,"34 days, 0:00:00"
